Review,date,Location,cleaned_review,Sentiment Score,Sentiment Label
"I was very impressed with the resort. Great staff at the main resort pool bar! We had a blast with them. Clean, professional staff, great location and very reasonable!      ",20/08/2019,Sebastian,impress resort great staff main resort pool bar blast clean profession staff great locat reason,0.93,Positive
The rooms were nice the outside needs work also no free breakfast it would have been nice overall it was ok      ,20/08/2019,Los Angeles,room nice outsid need work also free breakfast would nice overal ok,0.8779,Positive
Great location! I have stayed at this hotel on my last three trips to New York.      ,20/08/2019,Georgia,great locat stay hotel last three trip new york,0.6249,Positive
The hotel was adequate for my stay. The strips in the bathtub were useless as I fell while taking a shower. I asked the front desk staff several times to get a bath mat but they never did. Management was unresponsive to my request which was very poor; someone should have gone to a dollar store and gotten a bath mat. Breakfast was good but it would have been nice to have had yogurt and/or cottage cheese on the buffet.      ,20/08/2019,,hotel adequ stay strip bathtub useless fell take shower ask front desk staff sever time get bath mat never manag unrespons request poor someon gone dollar store gotten bath mat breakfast good would nice yogurt andor cottag chees buffet,-0.0516,Negative
"Great location, room was large and spacious. Parking was easy and we appreciated the friendly staff      ",19/08/2019,Palm Harbor,great locat room larg spaciou park easi appreci friendli staff,0.6249,Positive
All the options for fun were great! Do wish there were a better policy on the lazy river floats. Lots of people Hoarding them.      ,19/08/2019,,option fun great wish better polici lazi river float lot peopl hoard,0.9186,Positive
Old. Musty. Motel.  Bath need an update asap !!!!!!      ,19/08/2019,,old musti motel bath need updat asap,0.0,Neutral
Loved the layout of the hotel and the relaxing pool area. Only con was housekeeping/maintenance staff passing the room with carts and speaking loudly on radios at 7-7:30 am.      ,19/08/2019,,love layout hotel relax pool area con housekeepingmainten staff pass room cart speak loudli radio 7730,0.7964,Positive
My wife and I loved everything about it. It’s close to everything and everywhere.  We will be recommending to others and we will definitely be back.      ,19/08/2019,,wife love everyth ’ close everyth everywher recommend other definit back,0.7717,Positive
"rooms were very small, was told i had a complimentary upgrade to a empire state building view room but it was a regular room, everything else was ok.      ",19/08/2019,,room small told complimentari upgrad empir state build view room regular room everyth els ok,0.296,Positive
Very clean and friendly and I love the location The restaurant that is inside was excellent for food and service the bathrooms are a little small because they’re vintage but overall I would definitely stay again      ,19/08/2019,California,clean friendli love locat restaur insid excel food servic bathroom littl small ’ vintag overal would definit stay,0.872,Positive
Nice and comfortable good position near the station and the subway      ,19/08/2019,,nice comfort good posit near station subway,0.802,Positive
"Location was great, lobby area was nice but room needs to be upgraded      ",19/08/2019,,locat great lobbi area nice room need upgrad,0.7845,Positive
Quiet and at a great location.  Good control at entrance to elevators.      ,19/08/2019,,quiet great locat good control entranc elev,0.7906,Positive
Very nice and quiet and clean rooms.  We will return when back in the area.      ,19/08/2019,Redding,nice quiet clean room return back area,0.6705,Positive
"Rooms were clean, updated, and beds were comfortable.      ",19/08/2019,,room clean updat bed comfort,0.6369,Positive
The staff was exceptionally helpful and the property wasclose to dining and shopping ad well as Dineyland. We had a bery restful stay there abd look forward to staying there in the future.      ,19/08/2019,,staff except help properti wasclos dine shop ad well dineyland beri rest stay abd look forward stay futur,0.5859,Positive
"It was great for what we needed, a place to sleep. Parking was 20 a day, which isn’t too bad for that area. We were on the floor that the pool was located on, so there was a constant flow of loud people storming down the hallway. Poorly set up, since that is the only way to the pool. They probably put us there since we used a third party booking site.      ",19/08/2019,,great need place sleep park 20 day ’ bad area floor pool locat constant flow loud peopl storm hallway poorli set sinc way pool probabl put us sinc use third parti book site,0.1531,Positive
"rooms were clean. we had two room and were able to get it right across from each other. Location was very close to john wayne airport and only 12 mile from Disneyland!!! we were there in 15 mins in a car ride. shuttle servise to nearby restaurants were available and convenient, also to the airport.      ",19/08/2019,,room clean two room abl get right across locat close john wayn airport 12 mile disneyland 15 min car ride shuttl servis nearbi restaur avail conveni also airport,0.4019,Positive
"A little off the beaten path, but ultimately places you at a reasonably central location (Buena Vista). Everything clean and functional, covered parking (garage with access). Roomy, good beds, friendly staff, tho didn't have time to sample amenities nor did we have any special requests or concerns.      ",18/08/2019,,littl beaten path ultim place reason central locat buena vista everyth clean function cover park garag access roomi good bed friendli staff tho didnt time sampl amen special request concern,0.6705,Positive
"The room is tiny. The building is old and worn on inside. Needs updating. The walls are thin. The bathroom needs updating. Flooring is worn and ripping. Staff wasn’t the friendliest. Plan on walking 25 minutes to time square. Security was the only good thing with this hotel. Be prepared they add on fees if you purchase through Expedia. They call it resort fees. Why, I have no idea. It’s not a resort.      ",18/08/2019,,room tini build old worn insid need updat wall thin bathroom need updat floor worn rip staff ’ friendliest plan walk 25 minut time squar secur good thing hotel prepar add fee purchas expedia call resort fee idea ’ resort,0.4767,Positive
"Awesome location, easy access to sights and subway.      ",18/08/2019,,awesom locat easi access sight subway,0.0,Neutral
The room did not seem clean. There was some sort of orange sticky glop on the bathroom counter. And the travel size lotion they provided was already empty. I liked that you could text the valet and they had your car waiting.      ,18/08/2019,Jacksonville,room seem clean sort orang sticki glop bathroom counter travel size lotion provid alreadi empti like could text valet car wait,0.6369,Positive
Great location and friendly staff. Room with enough space.      ,18/08/2019,,great locat friendli staff room enough space,0.6249,Positive
Real nice love to go back soon  I will recommend family and friends      ,17/08/2019,,real nice love go back soon recommend famili friend,0.9136,Positive
"Beautiful hotel. Friendly, helpful staff. Walking distance to light rail. Uneasy about homeless encampment in the empty lot behind the hotel on the way to the light rail.      ",17/08/2019,,beauti hotel friendli help staff walk distanc light rail uneasi homeless encamp empti lot behind hotel way light rail,0.4019,Positive
"Beautiful Art Deco building, Foyer is very ornate and stylish      ",17/08/2019,,beauti art deco build foyer ornat stylish,0.0,Neutral
Really close to job interview. Nice morning breakfast at location across the street that has some affiliation with the hotel. Nice guests!      ,17/08/2019,,realli close job interview nice morn breakfast locat across street affili hotel nice guest,0.6808,Positive
Rooms very dirty and aged. Breakfast was of poor quality and limited choices      ,17/08/2019,,room dirti age breakfast poor qualiti limit choic,-0.4767,Negative
"I have stayed for 5 nights, Great service, affordable price.      ",17/08/2019,,stay 5 night great servic afford price,0.6249,Positive
The staff is excellent here. This is always my first choice when I look to stay in Orlando. Have stayed here every year for the past 8 years. It is perfectly situated on International Dr. The grounds are beautiful and I always feel safe. I would rate this property 10 out of 10. Jennifer on the front desk was very friendly and helpful.  I will be back next year.      ,17/08/2019,,staff excel alway first choic look stay orlando stay everi year past 8 year perfectli situat intern dr ground beauti alway feel safe would rate properti 10 10 jennif front desk friendli help back next year,0.8225,Positive
It was fine Sink needed to be wiped down. Stains on comforter      ,16/08/2019,,fine sink need wipe stain comfort,0.5106,Positive
"Was a great place, the room had ants but that comes with outside doors. lobby service was great though      ",16/08/2019,,great place room ant come outsid door lobbi servic great though,0.8481,Positive
"Enjoyed our stay! Staff was welcoming and friendly. Chose this location for a weekend with my friends. When booking this room I requested a rollaway bed. When I called the front desk about the extra bed I requested, it was explained to me since we have two beds they could not accommodate us with a rollaway. Why give that an option during booking but not available during the stay? Overall it was a nice experience.       ",16/08/2019,La quinta,enjoy stay staff welcom friendli chose locat weekend friend book room request rollaway bed call front desk extra bed request explain sinc two bed could accommod us rollaway give option book avail stay overal nice experi,0.8481,Positive
"Well kept up, but where was my complimentary breakfast ??????      ",15/08/2019,Seattle,well kept complimentari breakfast,0.2732,Positive
Location was around the transportation system .near main attraction within the city .Good friendly staff. Will visit again.clean rooms      ,15/08/2019,,locat around transport system near main attract within citi good friendli staff visit againclean room,0.6597,Positive
Good value. We enjoyed our 4 day stay. Bicely appointed room.      ,15/08/2019,,good valu enjoy 4 day stay bice appoint room,0.7269,Positive
The rooms was clean and i love they make breakfast sandwiches 2 for 6.00...      ,15/08/2019,,room clean love make breakfast sandwich 2 600,0.7845,Positive
"Sent my parents on an anniversary trip, They wanted to stay local but wanted to get away from the heat in Riverside so they stayed here for two days. They said the property was secluded, clean and they felt safe in this area. The hotel itself was clean, comfortable and they had a nice view. The staff were friendly and found their reservation with no issues. ONLY downside is that they had to pay $20 per day for parking. The parking was private and they didn't worry about their car being broken into so that was a plus but it was an extra cost we didn't expect. Great location for site seeing.      ",15/08/2019,Riverside,sent parent anniversari trip want stay local want get away heat riversid stay two day said properti seclud clean felt safe area hotel clean comfort nice view staff friendli found reserv issu downsid pay 20 per day park park privat didnt worri car broken plu extra cost didnt expect great locat site see,0.9013,Positive
Beautiful. Clean. Friendly staff. Variety of activities for adults & children. Would definitely choose to stay here again.      ,14/08/2019,"Champaign, IL",beauti clean friendli staff varieti activ adult children would definit choos stay,0.4019,Positive
"This property is advertised as being renovated. Only four floors are renovated and a renovation means basically new bedding. There were stains on the ceiling, a leaking shower, toilet that didn't work, peeling paint and an unpleasant manager when we asked to change our room. He seemed to think a non-working toilet wasn't an issue. I would not recommend nor ever stay in this property again. It was very disappointing.      ",14/08/2019,Pennsylvania,properti advertis renov four floor renov renov mean basic new bed stain ceil leak shower toilet didnt work peel paint unpleas manag ask chang room seem think nonwork toilet wasnt issu would recommend ever stay properti disappoint,-0.7359,Negative
"Loved the price, location to the parks and the shuttle.      ",14/08/2019,,love price locat park shuttl,0.6369,Positive
I liked that the staff was very nice and the place is very clean. I will be going back there very soon. The pool was very clean and you can go to other pools in the resort. Only minutes away from Magic Kingdom.      ,13/08/2019,,like staff nice place clean go back soon pool clean go pool resort minut away magic kingdom,0.8658,Positive
"Great price and lots to do. Clean,hospitality was great. Convenient to all the parks.      ",13/08/2019,,great price lot cleanhospit great conveni park,0.8481,Positive
Very smooth stay. We'll surely coming back to this hotel. Highly recommended      ,13/08/2019,,smooth stay well sure come back hotel highli recommend,0.7096,Positive
"Excellent location, and great service.i highly recommended New Yorker Hotel at winham      ",13/08/2019,,excel locat great servicei highli recommend new yorker hotel winham,0.8625,Positive
"The rooms are terribly small, almost claustrophobic. Ice machine was hard to find. And attitude at the front desks      ",13/08/2019,,room terribl small almost claustrophob ice machin hard find attitud front desk,-0.1027,Negative
They made us pay for gym facilities we didn’t use. It should be an optional fee. I came to see New York not to work out.      ,13/08/2019,Australia,made us pay gym facil ’ use option fee came see new york work,-0.1027,Negative
Does well what you expect it to. Comfy bed. Clean modern bathroom. Reasonably well sound-insulated rooms. Very good value at a great outer borough location. Unexpectedly nice shops and restaurants within walking distance.      ,13/08/2019,,well expect comfi bed clean modern bathroom reason well soundinsul room good valu great outer borough locat unexpectedli nice shop restaur within walk distanc,0.9403,Positive
I stayed here for 2 nights. This place is walk-able to Disneyland and very convenient. It has underground gated car parking. Staff was very courteous.      ,13/08/2019,,stay 2 night place walkabl disneyland conveni underground gate car park staff courteou,0.0,Neutral
"Friendly staff, clean property, secure parking, easy freeway access,!      ",13/08/2019,Las Vegas,friendli staff clean properti secur park easi freeway access,0.4404,Positive
I like everything in the hotel the personal very good services      ,12/08/2019,Miami,like everyth hotel person good servic,0.6597,Positive
I liked everything except the smoking by the pools ruined outdoor relaxation. Smelled very bad by the pools.      ,12/08/2019,"San Antonio,TX",like everyth except smoke pool ruin outdoor relax smell bad pool,-0.4404,Negative
I love how there are alot of pools but in terms of choices for restaurants being it the grand hotel was very limited. The good quality was alright for the high prices we paid. Nothing extravagant.      ,12/08/2019,Bayonne nj,love alot pool term choic restaur grand hotel limit good qualiti alright high price paid noth extravag,0.9022,Positive
The pool was nice but the staff was rude and we could not get our room clean      ,12/08/2019,,pool nice staff rude could get room clean,0.3612,Positive
Pool was super dirty & Jacuzzi water was a bit yellowish color. Room was clean but carpet was super dirty! Carpets needs to be deep clean... So wear socks! Rooms also tends to get stuffy quick! Worst of all the assistant I had was horrible at service. She was rude and unattentive. Felt rushed and she didn't try to give us any information at all about the hotel except where our room is at. They only accept strictly Debit cards and some major credit cards only with a $50-100 dollars deposit depending on if you have kids or not with you. If only the attendant that helped me was more friendly I wouldn't mind so much all the other flaws... But in all honesty I didn't even get a smile from her and I booked 4 rooms. But I'm not saying all employees are like that but I can say I never gotten any kind of acknowledgement from any of the employees who works there. No one greets.      ,12/08/2019,,pool super dirti jacuzzi water bit yellowish color room clean carpet super dirti carpet need deep clean wear sock room also tend get stuffi quick worst assist horribl servic rude unattent felt rush didnt tri give us inform hotel except room accept strictli debit card major credit card 50100 dollar deposit depend kid attend help friendli wouldnt mind much flaw honesti didnt even get smile book 4 room im say employe like say never gotten kind acknowledg employe work one greet,0.9172,Positive
It was a good experience overall. Complementary shuttle service helps a lot especially because airport is nearby      ,12/08/2019,,good experi overal complementari shuttl servic help lot especi airport nearbi,0.6808,Positive
"Everything here is really great - the staff , the rooms - the safety and quietness, the cleanliness of the rooms and lobby. I adore this hotel and hope to return soon. This is really a 10 star hotel in my book!      ",12/08/2019,,everyth realli great staff room safeti quiet cleanli room lobbi ador hotel hope return soon realli 10 star hotel book,0.7906,Positive
"Everything was great. Hello, just staying in the heart of New York was fantastic!      ",12/08/2019,,everyth great hello stay heart new york fantast,0.6249,Positive
cleanliness at hotel was very good in rooms and all public areas      ,12/08/2019,,cleanli hotel good room public area,0.4404,Positive
